,index,Netflix,Hulu,Prime Video,Disney+,title,budget,company,country,director,genre,rating,score,star,votes,writer,original_language,popularity,revenue,runtime,release_year,release_month,release_day,class,score_prediction
1768,1767,0.0,0.0,0.0,0.0,Courageous,2000000.0,Other,USA,Other,Drama,PG-13,7.0,Other,16494,Other,en,6.0,34522221,114.5,2011,9,30,0,6.2
1769,1768,0.0,0.0,0.0,0.0,This Is England,2380000.0,Other,UK,Other,Crime,UNRATED,7.7,Other,104447,Other,en,8.4,8176544,101.0,2007,4,27,0,6.3
1770,1769,0.0,0.0,0.0,0.0,Half Past Dead,13000000.0,Other,USA,Other,Action,PG-13,4.6,Other,12906,Other,en,6.3,0,98.0,2002,11,15,0,6.1
1771,1770,0.0,0.0,0.0,0.0,The Lost World: Jurassic Park,73000000.0,Universal Pictures,USA,Steven Spielberg,Action,PG-13,6.5,Other,307541,Michael Crichton,en,2.5,229074524,129.0,1997,5,23,0,6.8
1772,1771,0.0,0.0,0.0,0.0,"Girl, Interrupted",40000000.0,Columbia Pictures Corporation,USA,Other,Biography,R,7.4,Other,136131,Other,en,10.7,0,127.0,2000,1,14,0,6.4
1773,1772,0.0,0.0,0.0,0.0,"For a Good Time, Call...",850000.0,Other,USA,Other,Comedy,R,6.0,Other,14352,Other,en,14.2,1243961,86.5,2012,11,2,0,6.5
1774,1773,0.0,0.0,0.0,0.0,The Hangover Part II,80000000.0,Warner Bros.,USA,Other,Comedy,R,6.5,Other,405836,Other,en,58.0,254455986,102.0,2011,5,26,0,6.2
1775,1774,0.0,0.0,0.0,0.0,Edge of Tomorrow,178000000.0,Warner Bros.,USA,Other,Action,PG-13,7.9,Tom Cruise,491740,Other,en,79.5,370541256,113.0,2014,6,6,0,6.7
1776,1775,0.0,0.0,0.0,0.0,Mad City,50000000.0,Warner Bros.,USA,Other,Crime,PG-13,6.2,Other,17378,Other,en,3.3,10541523,107.0,1997,11,7,0,6.9
1777,1776,0.0,0.0,0.0,0.0,Blade: Trinity,65000000.0,New Line Cinema,USA,Other,Action,R,5.9,Other,144728,Other,en,49.7,128905366,118.0,2004,12,8,0,6.1
1778,1777,0.0,0.0,0.0,0.0,Supercross,16000000.0,Other,USA,Other,Action,PG-13,4.1,Other,4105,Other,en,3.7,3102550,80.0,2005,8,17,0,6.2
1779,1778,0.0,0.0,0.0,0.0,The Funeral,12500000.0,Other,USA,Other,Crime,R,6.6,Other,7310,Other,en,3.0,1227324,99.0,1996,11,1,0,6.1
1780,1779,0.0,0.0,0.0,0.0,Welcome to Collinwood,12000000.0,Other,USA,Other,Comedy,R,6.4,George Clooney,13021,Other,en,3.6,0,86.0,2002,10,18,0,6.6
1781,1780,0.0,0.0,0.0,0.0,Watchmen,130000000.0,Warner Bros.,USA,Other,Action,R,7.6,Other,421872,Other,en,64.8,185258983,162.5,2009,3,6,0,6.4
1782,1781,0.0,0.0,0.0,0.0,Elektra,43000000.0,Twentieth Century Fox Film Corporation,Canada,Other,Action,PG-13,4.8,Other,76418,Other,en,28.6,56681566,97.0,2005,1,14,0,6.3
1783,1782,0.0,0.0,0.0,0.0,Man of the Year,20000000.0,Universal Pictures,USA,Barry Levinson,Comedy,PG-13,6.2,Other,29197,Other,en,11.2,41237648,115.0,2006,10,13,0,6.6
1784,1783,0.0,0.0,0.0,0.0,Mr. Deeds,50000000.0,Columbia Pictures Corporation,USA,Other,Comedy,PG-13,5.8,Adam Sandler,118680,Other,en,18.1,171269535,96.0,2002,6,28,0,6.3
1785,1784,0.0,0.0,0.0,0.0,American Outlaws,35000000.0,Other,USA,Other,Action,PG-13,6.0,Other,12589,Other,en,6.7,13678913,94.0,2001,8,17,0,6.2
1786,1785,0.0,0.0,0.0,0.0,Annabelle,6500000.0,New Line Cinema,USA,Other,Horror,R,5.4,Other,101152,Other,en,60.2,255273813,99.0,2014,10,3,0,6.2
1787,1786,0.0,0.0,0.0,0.0,Live Free or Die Hard,110000000.0,Twentieth Century Fox Film Corporation,USA,Other,Action,PG-13,7.2,Bruce Willis,354386,Other,en,48.9,383531464,128.0,2007,6,27,0,6.6
1788,1787,0.0,0.0,0.0,0.0,The Hunt for Red October,30000000.0,Paramount Pictures,USA,Other,Action,PG,7.6,Other,153474,Other,en,46.2,199200000,134.5,1990,3,2,0,6.1
1789,1788,0.0,0.0,0.0,0.0,Doubt,20000000.0,Other,USA,Other,Drama,PG-13,7.5,Other,106279,Other,en,21.0,50907234,104.0,2008,12,25,0,6.2
1790,1789,0.0,0.0,0.0,0.0,The Visit,5000000.0,Other,USA,Other,Horror,PG-13,6.2,Other,88141,M. Night Shyamalan,en,38.9,98450062,94.0,2015,9,11,0,6.1
