budget_ds-movies,company,country,director,genre,gross,rating,score,star,votes,writer,original_language,popularity,revenue,title,Ave_runtime,release_year,release_month,recomendation,Netflix,Hulu,Prime Video,Disney+
75000000.0,New Line Cinema,USA,Other,Comedy,118871849.0,PG,6.7,Other,105426,Other,en,31.160542,90450008,Hairspray,117.0,2007,7,1.0,0.0,0.0,0.0,0.0
13000000.0,New Line Cinema,USA,Renny Harlin,Horror,49369899.0,R,5.7,Other,39982,Wes Craven,en,17.113408,72500000,A Nightmare on Elm Street 4: The Dream Master,96.0,1988,8,1.0,0.0,0.0,0.0,0.0
32000000.0,Paramount Pictures,USA,Other,Comedy,60328558.0,PG-13,7.0,Other,68488,Other,en,21.620317,60328000,Scrooged,101.0,1988,11,2.0,0.0,0.0,0.0,0.0
2800000.0,Paramount Pictures,USA,Other,Horror,19170001.0,R,5.3,Other,24151,Other,en,9.070841999999999,19170001,Friday the 13th Part VII: The New Blood,88.0,1988,5,1.0,0.0,0.0,0.0,0.0
10500000.0,Metro Goldwyn Mayer,USA,Other,Horror,14114488.0,PG-13,4.6,Other,14288,Other,en,11.225044,14144000,Poltergeist III,98.0,1988,6,0.0,0.0,0.0,0.0,0.0
4700000.0,Other,USA,Other,Fantasy,1705139.0,PG-13,6.7,Other,5160,Other,en,1.435742,0,Lady in White,112.5,1988,4,1.0,0.0,0.0,0.0,0.0
3000000.0,Other,USA,Other,Action,7282851.0,R,6.5,Other,10883,Other,en,5.003615,7282851,Phantasm II,97.0,1988,7,1.0,0.0,0.0,0.0,0.0
7000000.0,Other,USA,Other,Action,20257000.0,R,5.2,Other,8115,Other,en,6.872783999999999,20256975,Action Jackson,96.0,1988,2,1.0,0.0,0.0,0.0,0.0
6500000.0,Columbia Pictures Corporation,USA,Spike Lee,Comedy,14545844.0,R,5.8,Other,5068,Other,en,3.159574,0,School Daze,121.0,1988,2,1.0,1.0,0.0,0.0,0.0
4000000.0,Other,USA,Oliver Stone,Drama,3468572.0,R,7.3,Other,10791,Other,en,4.541908,3468572,Talk Radio,110.0,1989,1,2.0,0.0,0.0,0.0,0.0
6000000.0,Other,USA,Other,Horror,40397.0,PG-13,5.5,Other,1931,Other,en,9.662714999999999,29907685,Pulse,92.5,1988,3,1.0,0.0,0.0,0.0,0.0
38000000.0,Other,Japan,Other,Horror,49046.0,R,6.6,Other,13025,Other,en,9.662714999999999,29907685,Pulse,104.0,2005,11,1.0,0.0,0.0,0.0,0.0
20000000.0,Other,USA,Other,Horror,20259297.0,PG-13,4.7,Other,26070,Wes Craven,en,9.662714999999999,29907685,Pulse,90.0,2006,8,0.0,0.0,0.0,0.0,0.0
15000000.0,Other,USA,Other,Comedy,124880.0,PG,6.3,Other,655,Other,en,0.249245,5217498,The In Crowd,100.0,1988,2,1.0,0.0,0.0,0.0,0.0
12500000.0,Other,USA,Other,Drama,5217498.0,PG-13,4.6,Other,3818,Other,en,0.249245,5217498,The In Crowd,105.0,2000,7,0.0,0.0,0.0,0.0,0.0
25000000.0,Other,France,Other,Drama,2317091.0,PG-13,7.2,Other,3168,Other,en,28.727731,152500343,Chocolat,113.0,1989,5,2.0,0.0,0.0,0.0,0.0
25000000.0,Miramax,UK,Other,Drama,71509363.0,PG-13,7.3,Other,159739,Other,en,28.727731,152500343,Chocolat,121.0,2001,1,2.0,0.0,0.0,0.0,0.0
1600000.0,Other,USA,Other,Comedy,419428.0,R,5.3,Other,648,Other,en,3.215465,0,Out of the Dark,90.5,1989,5,1.0,0.0,1.0,1.0,0.0
16400000.0,Touchstone Pictures,USA,Other,Comedy,95860116.0,PG,8.0,Other,303805,Other,en,55.458583999999995,235860116,Dead Poets Society,128.5,1989,6,2.0,0.0,0.0,0.0,0.0
35000000.0,Warner Bros.,USA,Tim Burton,Action,251188924.0,PG-13,7.6,Other,290956,Other,en,44.104469,411348924,Batman,126.0,1989,6,2.0,0.0,0.0,0.0,0.0
35000000.0,Warner Bros.,USA,Tim Burton,Action,251188924.0,PG-13,7.6,Other,289063,Other,en,9.815394,0,Batman,115.5,1989,6,2.0,0.0,0.0,0.0,0.0
11500000.0,Paramount Pictures,USA,Other,Horror,57469179.0,R,6.6,Other,70585,Stephen King,en,20.747994,57469467,Pet Sematary,103.0,1989,4,1.0,0.0,1.0,1.0,0.0
48000000.0,Paramount Pictures,USA,Steven Spielberg,Action,197171806.0,PG-13,8.3,Other,569584,Other,en,80.972475,474171806,Indiana Jones and the Last Crusade,127.0,1989,5,2.0,1.0,0.0,0.0,0.0
55000000.0,Warner Bros.,USA,Other,Action,63408614.0,R,6.3,Other,81700,Other,en,22.787667000000003,63408614,Tango & Cash,104.0,1989,12,1.0,0.0,0.0,0.0,0.0
17000000.0,Other,USA,Other,Action,30050028.0,R,6.5,Other,47646,Other,en,6.216203,30050028,Road House,114.0,1989,5,1.0,0.0,0.0,0.0,0.0
10000000.0,Other,USA,Other,Adventure,40485039.0,PG,6.9,Other,91355,Other,en,25.929893,40485039,Bill & Ted's Excellent Adventure,90.0,1989,2,1.0,0.0,0.0,0.0,0.0
40000000.0,Universal Pictures,USA,Robert Zemeckis,Adventure,118500000.0,PG,7.8,Other,381231,Other,en,43.345252,332000000,Back to the Future Part II,108.0,1989,11,2.0,1.0,0.0,0.0,0.0
70000000.0,Twentieth Century Fox Film Corporation,USA,Other,Adventure,54461047.0,PG-13,7.6,Other,141179,Other,en,24.961625,90000098,The Abyss,142.0,1989,8,2.0,0.0,0.0,0.0,0.0
6500000.0,Other,USA,Spike Lee,Comedy,27545445.0,R,7.9,Other,65909,Other,en,15.580335,37295445,Do the Right Thing,120.0,1989,7,2.0,0.0,0.0,0.0,0.0
18000000.0,Other,USA,Other,Biography,26830000.0,R,7.9,Other,107590,Other,en,16.102271,26828365,Glory,122.0,1990,2,2.0,0.0,0.0,0.0,0.0
16000000.0,Other,USA,Rob Reiner,Comedy,92823600.0,R,7.6,Other,162297,Other,en,18.430419,92823546,When Harry Met Sally...,96.0,1989,7,2.0,0.0,0.0,0.0,0.0
11000000.0,Other,USA,Other,Comedy,49797148.0,R,7.2,Other,52497,Other,en,7.5591919999999995,49797148,Major League,107.0,1989,4,2.0,0.0,0.0,0.0,0.0
14000000.0,Other,USA,Oliver Stone,Biography,70001698.0,R,7.2,Tom Cruise,83122,Other,en,25.949277,161001698,Born on the Fourth of July,145.0,1990,1,2.0,0.0,0.0,0.0,0.0
32000000.0,Other,UK,Other,Action,34667015.0,PG-13,6.6,Other,79694,Other,en,28.221190000000004,156167015,Licence to Kill,133.0,1989,7,1.0,0.0,0.0,0.0,0.0
1200000.0,Other,USA,Steven Soderbergh,Drama,24741700.0,R,7.2,Other,40810,Other,en,10.869492,0,"Sex, Lies, and Videotape",100.0,1989,9,2.0,0.0,0.0,0.0,0.0
27800000.0,Paramount Pictures,USA,Other,Action,52210049.0,PG,5.4,Other,47679,Other,en,19.578249,70200000,Star Trek V: The Final Frontier,107.0,1989,6,1.0,0.0,1.0,1.0,0.0
7500000.0,Other,USA,Other,Drama,106593296.0,PG,7.4,Other,79828,Other,en,19.585801,145793296,Driving Miss Daisy,99.0,1990,1,2.0,0.0,0.0,0.0,0.0
6000000.0,New Line Cinema,USA,Other,Fantasy,22168359.0,R,5.1,Other,32762,Wes Craven,en,12.654050999999999,22168359,A Nightmare on Elm Street 5: The Dream Child,89.0,1989,8,1.0,0.0,0.0,0.0,0.0
5000000.0,Paramount Pictures,USA,Other,Adventure,14343976.0,R,4.6,Other,25632,Other,en,12.904615,14000000,Friday the 13th Part VIII: Jason Takes Manhattan,100.0,1989,7,0.0,0.0,0.0,0.0,0.0
30000000.0,Paramount Pictures,USA,Ridley Scott,Action,46212055.0,R,6.6,Other,42281,Other,en,11.196019999999999,45892212,Black Rain,125.0,1989,9,1.0,0.0,0.0,0.0,0.0
9000000.0,Other,UK,Other,Action,10161099.0,PG-13,7.7,Other,24797,William Shakespeare,en,4.641006,0,Henry V,137.0,1989,11,2.0,0.0,0.0,0.0,0.0
18000000.0,Other,USA,Other,Adventure,8508843.0,PG,5.5,Other,7998,Other,en,3.455018,0,Troop Beverly Hills,105.0,1989,3,1.0,0.0,0.0,0.0,0.0
19000000.0,Universal Pictures,USA,Other,Crime,58571513.0,R,6.8,Other,32279,Other,en,11.47316,110879513,Sea of Love,113.0,1989,9,1.0,0.0,0.0,0.0,0.0
7000000.0,Other,USA,Other,Action,9094451.0,R,6.2,Other,12544,Other,en,9.887661999999999,0,Warlock,103.0,1991,1,1.0,0.0,0.0,0.0,0.0
5000000.0,Other,USA,Other,Comedy,6157157.0,PG-13,7.0,Other,22488,Other,en,4.070044,0,UHF,97.0,1989,7,2.0,0.0,0.0,0.0,0.0
15000000.0,Touchstone Pictures,USA,Woody Allen,Comedy,10763469.0,PG,6.4,Other,14716,Other,en,6.684096,0,New York Stories,124.0,1989,3,1.0,0.0,0.0,0.0,0.0
20000000.0,Paramount Pictures,USA,Other,Comedy,10555348.0,PG-13,6.0,Robert De Niro,18663,Other,en,9.927017999999999,0,We're No Angels,106.0,1989,12,1.0,0.0,0.0,0.0,0.0
70000000.0,Other,USA,Other,Drama,3953745.0,R,5.7,Other,3470,Other,en,18.927463,154648887,The Phantom of the Opera,118.0,1989,11,1.0,0.0,0.0,1.0,0.0
70000000.0,Warner Bros.,UK,Joel Schumacher,Drama,51268815.0,PG-13,7.3,Other,102777,Other,en,18.927463,154648887,The Phantom of the Opera,143.0,2004,12,2.0,0.0,0.0,1.0,0.0
0.0,Other,Australia,Other,Action,882290.0,R,6.5,Other,5186,Other,en,6.41678,882290,The Blood of Heroes,95.0,1990,2,1.0,0.0,0.0,0.0,0.0
2300000.0,Other,USA,Other,Action,792966.0,R,5.1,Other,5106,Other,en,1.7913310000000002,0,The Toxic Avenger Part II,99.0,1989,2,1.0,0.0,0.0,0.0,0.0
